participant_id	study	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
sub-43606631	PNC	-50	1	1	1	1	1	1	Pass
sub-70214854	PNC	-79	1	1	1	1	1	1	Pass
sub-176129790	PNC	-93	1	1	1	1	1	1	Pass
sub-199547104	PNC	-80	1	1	1	1	1	1	Pass
sub-235478560	PNC	-168	1	1	1	1	1	1	Pass
sub-255089519	PNC	-185	1	1	1	1	1	1	Pass
sub-255246595	PNC	-59	1	1	1	1	1	1	Pass
sub-296947353	PNC	-82	1	1	1	1	1	1	Pass
sub-299894413	PNC	-153	1	1	1	1	1	1	Pass
sub-322458406	PNC	-99	1	1	1	1	1	1	Pass
sub-324718088	PNC	-100	1	1	1	1	1	1	Pass
sub-372100986	PNC	-111	1	1	1	0.75	1	0.95	Artifact
sub-375686109	PNC	-84	1	1	1	0.75	1	0.95	Artifact
sub-408837402	PNC	-97	1	1	1	1	1	1	Pass
sub-410808047	PNC	-266	0.5	1	0.75	0.5	0	0.55	Artifact
sub-451261789	PNC	-101	1	1	1	1	1	1	Pass
sub-482294424	PNC	-126	1	1	1	1	1	1	Pass
sub-500081009	PNC	-110	1	1	1	1	1	1	Pass
sub-578652819	PNC	-336	0.5	0.75	0.75	0.75	0.5	0.65	Artifact
sub-610158411	PNC	-122	1	1	1	1	1	1	Pass
sub-628144066	PNC	-47	1	1	1	1	1	1	Pass
sub-636218109	PNC	-175	1	1	1	1	1	1	Pass
sub-646773252	PNC	-67	1	1	1	1	1	1	Pass
sub-707016535	PNC	-129	1	1	1	1	1	1	Pass
sub-747098283	PNC	-307	0.75	0.5	0.5	0.5	0.5	0.55	Artifact
sub-826730657	PNC	-161	1	1	1	1	1	1	Pass
sub-835121147	PNC	-69	1	1	1	1	1	1	Pass
sub-864032752	PNC	-233	1	1	1	1	1	1	Pass
sub-868703738	PNC	-114	1	1	1	1	1	1	Pass
sub-894197507	PNC	-85	1	1	1	1	1	1	Pass
sub-894864165	PNC	-95	1	1	1	1	1	1	Pass
sub-911677944	PNC	-116	1	1	1	1	1	1	Pass
sub-981492397	PNC	-96	1	1	1	1	1	1	Pass
sub-1000881804	PNC	-123	1	1	1	1	1	1	Pass
sub-1006151876	PNC	-70	1	1	1	1	1	1	Pass
sub-1007995238	PNC	-73	1	1	1	1	1	1	Pass
sub-1017092387	PNC	-108	1	1	1	1	1	1	Pass
sub-1039797417	PNC	-482	0	0.25	0	0	0	0.05	Artifact
sub-1043634177	PNC	-255	1	1	1	1	1	1	Pass
sub-1065666069	PNC	-71	1	1	1	1	1	1	Pass
sub-1095340536	PNC	-108	1	1	1	0.75	1	0.95	Artifact
sub-1120521402	PNC	-149	1	1	1	1	1	1	Pass
sub-1161373229	PNC	-91	1	1	1	1	1	1	Pass
sub-1172262944	PNC	-72	1	1	1	1	1	1	Pass
sub-1204013299	PNC	-243	0.75	1	1	0.75	1	0.9	Artifact
sub-1413282375	PNC	-172	1	0.5	0.25	0.75	0.25	0.55	Artifact
sub-1440768299	PNC	-53	1	1	1	1	1	1	Pass
sub-1448081953	PNC	-68	1	1	1	1	1	1	Pass
sub-1485100276	PNC	-139	1	1	1	1	1	1	Pass
sub-1489422464	PNC	-146	1	1	1	1	1	1	Pass
sub-1510691965	PNC	-117	0.75	1	1	0.75	1	0.9	Artifact
sub-1531348005	PNC	-822	0	0	0.25	0.25	0	0.1	Artifact
sub-1569318720	PNC	-101	1	1	1	1	1	1	Pass
sub-1594198178	PNC	-73	1	1	1	1	1	1	Pass
sub-1612290284	PNC	-108	1	1	1	1	1	1	Pass
sub-1613166374	PNC	-140	1	1	1	1	1	1	Pass
sub-1654523276	PNC	-119	1	1	1	1	1	1	Pass
sub-1695950181	PNC	-98	1	1	1	1	1	1	Pass
sub-1711930631	PNC	-62	1	1	1	1	1	1	Pass
sub-1762102677	PNC	-153	1	1	1	1	1	1	Pass
sub-1764158413	PNC	-104	1	1	1	1	1	1	Pass
sub-1781205887	PNC	-115	1	1	1	1	1	1	Pass
sub-1794346030	PNC	-118	1	1	1	1	1	1	Pass
sub-1836756700	PNC	-92	1	1	1	1	1	1	Pass
